"sector;Año;Mes;Fecha;Cuenta Corriente;Balance Comercial;Bienes;Servicios;Ingreso primario;Intereses;Utilidades y Dividendos;Ingreso secundario;Capital;Cuenta Financiera;IED (neto);Préstamos financieros, títulos de deuda y líneas de crédito;FAE;Resultado Cambiario Sector;Resultado Cambiario (Incluye Conceptos no informados por el cliente);Conceptos no informados por el cliente"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;1;200301;78,095673;79,603215;80,171495;-0,56828;-1,555827;-1,691281;0,135454;0,048285;0;6,565425;6,201005;0,686731;-0,409004000000001;84,661098;84,661098;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;2;200302;63,4596315028;64,7291343786;65,7821607251;-1,0530263465;-1,3126628998;-0,7513878998;-0,561275;0,043160024;0;-4,2987653648;3,7962363976;1,469544;-9,0401767624;59,160866138;59,160866138;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;3;200303;77,4924391656;79,41996293;79,8429689723;-0,4230060423;-1,909048;-0,434999;-1,474049;-0,0184757644;0;-5,8735392536;3,3117820092;-1,5855944269;-7,6392138359;71,618899912;71,618899912;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;4;200304;76,0154328957;78,2314990301;80,2327510359;-2,0012520058;-2,2486144124;-0,2994734124;-1,949141;0,032548278;0;-3,6552372789;3,537531;2,001162945;-8,7911507887;72,3601956168;72,3601956168;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;5;200305;84,9754532892;89,6687110895;89,9084791468;-0,2397680573;-4,7413422;-1,813038;-2,935425;0,0480843997;0;-0,972219667399998;5,2342067474;0,624732;-8,1511744148;84,0032336218;84,0032336218;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;6;200306;74,5056972391;74,9081095391;76,59253206;-1,6844225209;-0,449378;-0,454028;0,00465;0,0469657;0;3,7484369718;7,5092775816;1,905128;-6,1307586638;78,2541342109;78,2541342109;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;7;200307;88,3992748292;90,8279445729;92,1342564831;-1,3063119102;-2,4980219368;-0,5026156632;-1,9971284236;0,0693521931;0;0,7849828528;7,1022178345;0,1976491023;-6,685222297;89,184257682;89,184257682;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;8;200308;73,1005941421;73,9955633974;75,5828012813;-1,5872378839;-1,1826601944;-0,4262731944;-0,756387;0,2876909391;0;-6,1295498792;6,6801968051;-0,6571203278;-12,3283863028;66,9710442629;66,9710442629;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;9;200309;65,6712779413;70,1519921284;79,3902348907;-9,2382427623;-4,5982455084;-0,592462;-4,0097715084;0,1175313213;0;-10,789343779;5,467318169;-3,038612;-13,2139133746;54,8819341623;54,8819341623;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2003;10;200310;73,4346395678;74,512309942;81,0112872241;-6,4989772821;-1,1048416322;-0,68141608;-0,4234255522;0,027171258;0;5,4869427142;10,8211204848;-0,048243717;-6,4376364387;78,921582282;78,921582282;0"
